sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,bior2.2,soft,,False,VisuShrink,False,18.265970136791168
0.001,bior2.2,soft,1,False,BayesShrink,True,18.042030799027295
0.001,bior2.2,soft,1,False,BayesShrink,False,18.042030799027295
0.001,bior2.2,soft,1,False,VisuShrink,True,18.23534646781566
0.001,bior2.2,soft,1,False,VisuShrink,False,18.23534646781566
0.001,bior2.2,soft,2,False,BayesShrink,True,18.042065819040328
0.001,bior2.2,soft,2,False,BayesShrink,False,18.042065819040328
0.001,bior2.2,soft,2,False,VisuShrink,True,18.265970136791168
0.001,bior2.2,soft,2,False,VisuShrink,False,18.265970136791168
0.001,bior2.2,soft,3,False,BayesShrink,True,18.042068108674854
0.001,bior2.2,soft,3,False,BayesShrink,False,18.042068108674854
0.001,bior2.2,soft,3,False,VisuShrink,True,18.268858291944113
0.001,bior2.2,soft,3,False,VisuShrink,False,18.268858291944113
0.001,bior2.2,hard,,False,BayesShrink,True,18.041641541273464
0.001,bior2.2,hard,,False,BayesShrink,False,18.041641541273464
0.001,bior2.2,hard,,False,VisuShrink,True,18.04173443994471
0.001,bior2.2,hard,,False,VisuShrink,False,18.04173443994471
0.001,bior2.2,hard,1,False,BayesShrink,True,18.041641541273467
0.001,bior2.2,hard,1,False,BayesShrink,False,18.041641541273467
0.001,bior2.2,hard,1,False,VisuShrink,True,18.041698228879596
0.001,bior2.2,hard,1,False,VisuShrink,False,18.041698228879596
0.001,bior2.2,hard,2,False,BayesShrink,True,18.041641541273464
0.001,bior2.2,hard,2,False,BayesShrink,False,18.041641541273464
0.001,bior2.2,hard,2,False,VisuShrink,True,18.04173443994471
0.001,bior2.2,hard,2,False,VisuShrink,False,18.04173443994471
0.001,bior2.2,hard,3,False,BayesShrink,True,18.041641541273464
0.001,bior2.2,hard,3,False,BayesShrink,False,18.041641541273464
0.001,bior2.2,hard,3,False,VisuShrink,True,18.04175967136489
0.001,bior2.2,hard,3,False,VisuShrink,False,18.04175967136489
0.001,bior3.1,soft,,False,BayesShrink,True,18.04206507025423
0.001,bior3.1,soft,,False,BayesShrink,False,18.04206507025423
0.001,bior3.1,soft,,False,VisuShrink,True,18.243111344981315
0.001,bior3.1,soft,,False,VisuShrink,False,18.243111344981315
0.001,bior3.1,soft,1,False,BayesShrink,True,18.04205593446931
0.001,bior3.1,soft,1,False,BayesShrink,False,18.04205593446931
0.001,bior3.1,soft,1,False,VisuShrink,True,18.228168345916263
0.001,bior3.1,soft,1,False,VisuShrink,False,18.228168345916263
0.001,bior3.1,soft,2,False,BayesShrink,True,18.042064832743975
0.001,bior3.1,soft,2,False,BayesShrink,False,18.042064832743975
0.001,bior3.1,soft,2,False,VisuShrink,True,18.242343832715534
0.001,bior3.1,soft,2,False,VisuShrink,False,18.242343832715534
0.001,bior3.1,soft,3,False,BayesShrink,True,18.04206507025423
0.001,bior3.1,soft,3,False,BayesShrink,False,18.04206507025423
